username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink
Resurgence,ResurgenceATL,2018-03-03 09:34,2,21,"Sure hope @SouthwestAir stocked up on extra mini bottles https:// twitter.com/bartimusprime1 9/status/969887021291499521 …",,@SouthwestAir,,"969913804602658816",https://twitter.com/ResurgenceATL/status/969913804602658816
Kidd O'Shea,ABC7Kidd,2018-03-03 08:02,3,66,"After a #cancelled flight, hours on the phone with multiple airlines and the fear of a second cancellation, @SouthwestAir saves the day and is getting our @ABC7News crew out of #DCA as we head to #Hollywood for the #Oscars pic.twitter.com/OJJntvkQLD",,@SouthwestAir @ABC7News,#cancelled #DCA #Hollywood #Oscars,"969890765177610240",https://twitter.com/ABC7Kidd/status/969890765177610240
IG:TiaraSoBoojie,TiaraSoBoojie,2018-03-03 08:00,3,25,"I absolutely love @SouthwestAir great customer service and friendly flight attendants",,@SouthwestAir,,"969890155187326977",https://twitter.com/TiaraSoBoojie/status/969890155187326977
em | inactive,stryofanothervs,2018-03-03 01:44,6,17,"If you could use all of your emails to sign up with this link and help me meet @5SOS in Atlanta it would be appreciated!! Let me know if you need anything x @SouthwestAir #SoundStage http:// ul.ink/BG8W-506KNG_T",,@5SOS @SouthwestAir,#SoundStage,"969795636945149952",https://twitter.com/stryofanothervs/status/969795636945149952
Pete Halvorsen,petehalvorsen,2018-03-03 00:03,0,60,"Emergency flight to Oakland to see my Dad in the ER. My original flight is delayed till later tonight... My man Oscar working the gate 17A at LAX @SouthwestAir 1. Believed me 2. Worked magic to get me on this full 7 pm flight pic.twitter.com/z8oKSjAcxB – at Los Angeles International Airport (LAX)",,@SouthwestAir,,"969770242783166464",https://twitter.com/petehalvorsen/status/969770242783166464
Leslie Harvey,TripsWithTykes,2018-03-02 22:10,2,10,"Girls trip! Excited to be aboard @SouthwestAir with @PlayPartyPlan bound for Disneyland. Ad #SouthwestStorytellers #EatDrinkAndDisney pic.twitter.com/zyttuMLAUj – at Norman Y. Mineta San José International Airport (SJC)",,@SouthwestAir @PlayPartyPlan,#SouthwestStorytellers #EatDrinkAndDisney,"969741814566563840",https://twitter.com/TripsWithTykes/status/969741814566563840
Chase,EagleOneFoxOne,2018-03-02 20:00,1,20,"I like you guys, @SouthwestAir Nice planes. Great service. Just don't go all political on us and we're good!",,@SouthwestAir,,"969708950911377409",https://twitter.com/EagleOneFoxOne/status/969708950911377409
Shannon Encina,ShannonEncina,2018-03-02 19:32,4,18,"Pilots navigating gusty conditions at #BWI #Airport but sticking the landings. @BWI_Airport @SouthwestAir #Baltimore #WBAL #windmaggedon #wind pic.twitter.com/d0qrNvdeZ2",,@BWI_Airport @SouthwestAir,#BWI #Airport #Baltimore #WBAL #windmaggedon #wind,"969702106532806657",https://twitter.com/ShannonEncina/status/969702106532806657
Dr. Implorable,DocPGraham,2018-03-02 18:47,2,29,"This isn't "scary", or even unusual. It was a really smart decision of that crew to recognize an unstable approach, to terminate it, and go 'round. Basic maneuver we all learn in flight training.",,,,"969690803391123456",https://twitter.com/DocPGraham/status/969690803391123456
Micheál Keane,aexia,2018-03-02 17:17,2,30,"Pilots obviously had it under control but it's still terrifying for the passengers",,,,"969667990814851074",https://twitter.com/aexia/status/969667990814851074
